Station,Month,ActualMonthlyMeanTemperature,ActualMonthlyMaximumTemperature,ActualMonthlyMinimumTemperature
72553394957,1,25.8,37.8,13.7
72553394957,2,29.9,44.7,15.2
72553394957,3,42.1,55.1,29.1
72553394957,4,51.1,63.4,38.7
72553394957,6,75.3,86.5,64.1
72553394957,7,76.9,87.0,66.8
72553394957,8,76.9,89.0,64.8
72553394957,9,69.3,83.1,55.6
72553394957,10,55.3,71.2,39.4
72553394957,11,39.8,51.9,27.7
72553394957,12,28.3,38.8,17.7
72205453959,1,38.3,49.1,27.5
72205453959,2,42.0,52.6,31.3
72205453959,3,53.5,64.7,42.2
72205453959,4,61.0,71.0,51.0
72205453959,5,72.8,82.8,62.8
72205453959,6,80.0,90.6,69.3
72205453959,7,84.5,94.1,74.9
72205453959,8,80.5,89.3,71.7
72205453959,9,77.5,90.7,64.2
72205453959,10,61.9,75.1,48.6
72205453959,11,50.9,61.3,40.4
72205453959,12,44.0,51.9,36.1
72577504111,1,20.8,29.1,12.5
72577504111,2,20.1,29.3,10.8
72577504111,3,32.0,41.8,22.2
72577504111,4,37.8,50.3,25.3
72577504111,5,46.3,58.6,33.9
72577504111,6,59.9,74.3,45.5
72577504111,7,71.7,86.7,56.6
72577504111,8,68.2,81.8,54.5
72577504111,9,62.8,77.4,48.2
72577504111,10,46.6,59.6,33.6
72577504111,11,24.5,32.7,16.2
72577504111,12,22.1,29.5,14.6
72341503962,1,41.0,54.2,27.7
72341503962,2,43.6,56.4,30.8
72341503962,3,53.8,67.3,40.3
72341503962,4,62.9,73.9,51.8
72341503962,6,79.7,90.4,68.9
72341503962,7,87.0,98.4,75.6
72341503962,8,81.9,91.3,72.6
72341503962,9,76.4,89.2,63.7
72341503962,10,64.0,77.6,50.4
72341503962,11,51.1,61.3,41.0
72341503962,12,45.1,53.7,36.5
72335013877,1,34.6,44.5,24.6
72335013877,2,43.1,56.6,29.6
72335013877,3,50.9,65.0,36.7
72335013877,4,55.8,69.4,42.2
72335013877,5,67.5,80.2,54.8
72335013877,6,73.8,86.9,60.8
72335013877,7,77.8,87.8,67.8
72335013877,8,75.7,86.7,64.8
72335013877,9,67.5,79.5,55.6
72335013877,10,54.2,68.3,40.2
72335013877,11,49.3,62.0,36.6
72335013877,12,40.1,50.2,30.0
99999963831,1,43.4,56.5,30.4
99999963831,2,49.2,62.2,36.1
99999963831,3,55.5,70.0,41.1
99999963831,4,62.4,75.4,49.3
99999963831,5,73.7,85.4,62.1
99999963831,6,79.6,91.0,68.2
99999963831,7,80.9,90.5,71.4
99999963831,8,78.8,87.1,70.4
99999963831,9,73.1,85.1,61.2
99999963831,10,61.2,76.4,46.0
99999963831,11,54.4,66.5,42.3
99999963831,12,49.9,59.3,40.4
72465593990,1,29.8,43.9,15.7
72465593990,2,32.2,48.4,15.9
72465593990,3,41.9,58.5,25.3
72465593990,4,54.1,70.4,37.8
72465593990,5,63.9,77.7,50.1
72465593990,6,77.4,91.7,63.0
72465593990,7,81.9,95.7,68.0
72465593990,8,79.7,95.6,63.7
72465593990,9,71.5,88.2,54.8
72465593990,10,56.6,74.1,39.1
72465593990,11,39.5,55.5,23.5
72465593990,12,29.1,43.9,14.3
